z,CH4,HCN,COF2,HCl,HNO3,HI,H2O,SF6,CO2,NO,t,OH,H2O2,N2O,ClO,CO,CH3Cl,NH3,N2,HOCl,O2,O3,H2CO,SO2,C2H2,HF,PH3,HBr,NO2,C2H6,p
78.15277,0.0001701397,1.701397e-08,1.0008690000000001e-18,1.000869e-07,5.004344e-09,3.002606e-10,1.8774309999999998,1.0008690000000001e-18,0.03302947,3.002606e-08,3.002606e-08,4.4028600000000005e-12,2.0017370000000002e-08,3.2027e-05,1.000869e-12,1.501303e-05,7.005279e-08,5.0043439999999995e-08,78.15277,7.707009999999999e-10,20.9196,3.019448e-06,2.401925e-07,3.002606e-08,3.002606e-08,1.000869e-12,1.0008690000000001e-18,0.0,2.3020779999999998e-09,2.001737e-07,101300.0
78.17963,0.00017015040000000002,1.6513950000000002e-08,1.000859e-18,7.494247000000001e-08,5.964356e-09,3.002577e-10,1.379119,1.000859e-18,0.0330279,3.002577e-08,3.002577e-08,4.403868e-12,1.951608e-08,3.202571e-05,1.0008589999999999e-12,1.4514010000000001e-05,6.704912e-08,5.006512e-08,78.17963,1.060724e-09,20.91737,3.340039e-06,1.070923e-07,2.742273e-08,1.72146e-08,1.0008589999999999e-12,1.000859e-18,0.0,2.301931e-09,2.0017180000000002e-07,90200.0
78.16594,0.0001701288,1.631076e-08,1.000642e-18,5.612039e-08,6.932808e-09,3.0019260000000003e-10,0.9687273999999999,1.000642e-18,0.03301922,3.0019259999999996e-08,3.0019259999999996e-08,4.402726e-12,1.921252e-08,3.20225e-05,1.000642e-12,1.3998180000000001e-05,6.431996e-08,4.633001e-08,78.16594,1.220606e-09,20.911350000000002,3.696188e-06,4.042829e-08,2.3616720000000002e-08,9.574345e-09,1.230917e-12,1.000642e-18,0.0,2.30128e-09,2.001284e-07,80200.0
78.12988,0.0001701049,1.61092e-08,1.0006489999999999e-18,4.222489e-08,7.916148e-09,3.001947e-10,0.5988691,1.0006489999999999e-18,0.03302196,3.001947e-08,3.001947e-08,4.402747e-12,1.89108e-08,3.202294e-05,1.000649e-12,1.3497630000000001e-05,6.222158e-08,3.802249e-08,78.12988,1.140729e-09,20.91427,4.22466e-06,2.271685e-08,1.901396e-08,6.743385000000001e-09,1.971436e-12,1.0006489999999999e-18,0.0,2.301547e-09,2.001298e-07,71000.0
78.14437,0.0001698033,1.601329e-08,1.00068e-18,3.192447e-08,8.877584e-09,3.002041e-10,0.38153190000000003,1.00068e-18,0.03302365,3.0020410000000005e-08,3.0020410000000005e-08,4.402753e-12,1.840988e-08,3.202057e-05,1.00068e-12,1.313018e-05,6.072556e-08,2.881911e-08,78.14437,9.80859e-10,20.91458,4.824409e-06,1.4007120000000001e-08,1.4607769999999999e-08,5.0736779999999996e-09,3.182236e-12,1.00068e-18,0.0,2.3016849999999998e-09,1.981539e-07,62800.0
78.17972,0.0001688789,1.601552e-08,1.000887e-18,2.392006e-08,9.755817e-09,3.002661e-10,0.22268570000000001,1.000887e-18,0.03302993,3.0026609999999996e-08,3.0026609999999996e-08,4.403769e-12,1.771363e-08,3.203104e-05,1.0008869999999999e-12,1.303883e-05,6.025299e-08,2.041729e-08,78.17972,8.017750000000001e-10,20.91674,5.5171970000000004e-06,1.000887e-08,1.181353e-08,3.993559e-09,5.635066e-12,1.000887e-18,0.0,2.302106e-09,1.951829e-07,55400.0
78.12607,0.0001672861,1.601029e-08,1.000458e-18,1.790605e-08,1.110797e-08,3.001374e-10,0.1510684,1.000458e-18,0.033012889999999996,3.001374e-08,3.001374e-08,4.401719e-12,1.661012e-08,3.201318e-05,1.000458e-12,1.288525e-05,6.002748e-08,1.460328e-08,78.12607,6.42263e-10,20.91261,6.410781000000001e-06,7.4423419999999996e-09,9.715773e-09,3.1916909999999997e-09,9.182591e-12,1.000458e-18,0.0,2.300831e-09,1.9009439999999998e-07,48700.0
78.14212,0.0001650181,1.6006500000000002e-08,1.00051e-18,1.3208050000000001e-08,1.2605429999999999e-08,3.001529e-10,0.10203219999999999,1.00051e-18,0.03302012,3.001529e-08,3.001529e-08,4.4123140000000005e-12,1.490858e-08,3.201301e-05,1.00051e-12,1.247335e-05,6.003058e-08,9.881271000000001e-09,78.14212,5.422729e-10,20.90999,7.767983e-06,6.042682e-09,8.304560000000001e-09,2.801757e-09,1.5304829999999998e-11,1.00051e-18,0.0,2.3015019999999998e-09,1.850778e-07,42600.0
78.13695,0.0001629619,1.601061e-08,1.000433e-18,9.967481e-09,1.3910259999999999e-08,3.001299e-10,0.06466887,1.000433e-18,0.03301613,3.001299e-08,3.001299e-08,4.452203e-12,1.230735e-08,3.1965949999999995e-05,1.010566e-12,1.185596e-05,5.982330999999999e-08,6.482548e-09,78.13695,4.701851e-10,20.91144,9.130102e-06,5.0122979999999995e-09,7.213065999999999e-09,2.550828e-09,2.410804e-11,1.000433e-18,0.0,2.3011799999999997e-09,1.79083e-07,37200.0
78.15527,0.0001616047,1.601627e-08,1.000734e-18,7.485932e-09,1.531588e-08,3.002407e-10,0.041323,1.000734e-18,0.03302132,3.002407e-08,3.002407e-08,4.562834e-12,9.096829e-09,3.165144e-05,1.050585e-12,1.094874e-05,5.9440439999999996e-08,3.772836e-09,78.15527,4.413486e-10,20.918999999999997,1.111354e-05,4.222939e-09,6.565125e-09,2.4019250000000003e-09,4.042692e-11,1.000734e-18,0.0,2.321587e-09,1.7211049999999998e-07,32400.0
