,CH3Cl,CH4,CO,CO2,ClO,H2CO,H2O,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,SO2,p,t,z
0,7.00767e-08,0.0001701612,1.501443e-05,0.03554666,1.0008449999999999e-12,2.402029e-07,0.1406091,0.0,1.701262e-08,1.000845e-07,1.0008449999999999e-12,3.002536e-10,5.005979e-09,7.705282000000001e-10,78.17461,3.202705e-05,5.005979e-08,3.002536e-08,2.302119e-09,20.917839999999998,1.803625e-06,4.4030180000000004e-12,3.002536e-08,110000.0,257.2,-619.98
1,7.00767e-08,0.0001701612,1.501443e-05,0.03554666,1.0008449999999999e-12,2.402029e-07,0.1406091,0.0,1.701262e-08,1.000845e-07,1.0008449999999999e-12,3.002536e-10,5.005979e-09,7.705282000000001e-10,78.17461,3.202705e-05,5.005979e-08,3.002536e-08,2.302119e-09,20.917839999999998,1.803625e-06,4.4030180000000004e-12,3.002536e-08,101300.0,257.2,0.0
2,6.702325000000001e-08,0.000170166,1.4514269999999999e-05,0.03553217,1.0009289999999999e-12,1.071042e-07,0.1616637,0.0,1.651694e-08,7.498907e-08,1.0009289999999999e-12,3.002786e-10,5.963666e-09,1.060968e-09,78.17238,3.203053e-05,5.004644e-08,3.002786e-08,2.3020559999999998e-09,20.92119,2.073986e-06,4.404248e-12,2.7424799999999998e-08,88780.0,259.1,1000.0
3,6.434762e-08,0.000170094,1.400106e-05,0.03552297,1.0006599999999999e-12,4.04263e-08,0.1427826,0.0,1.630958e-08,5.6122389999999996e-08,1.230603e-12,3.00198e-10,6.934637e-09,1.220605e-09,78.16235999999999,3.20193e-05,4.6352099999999996e-08,3.0019799999999996e-08,2.3017e-09,20.91298,2.3376e-06,4.402995e-12,2.361685e-08,77750.0,255.9,2000.0
4,6.225643e-08,0.0001701402,1.3503440000000001e-05,0.03552671,1.0008249999999998e-12,2.271615e-08,0.1167116,0.0,1.611584e-08,4.2234799999999996e-08,1.971368e-12,3.002474e-10,7.914214000000001e-09,1.14094e-09,78.16698,3.202639e-05,3.803134e-08,3.002474e-08,2.301897e-09,20.914669999999997,2.7694619999999997e-06,4.403629e-12,1.901567e-08,67980.0,252.7,3000.0
5,6.076658e-08,0.00016984660000000001,1.3133419999999998e-05,0.03553173,1.000861e-12,1.4009749999999999e-08,0.07904268,0.0,1.6016089999999998e-08,3.19284e-08,3.1824619999999997e-12,3.0025839999999996e-10,8.878608e-09,9.806827e-10,78.17788,3.2026409999999996e-05,2.8826649999999998e-08,3.002584e-08,2.302096e-09,20.916619999999998,3.255682e-06,4.403559e-12,1.461511e-08,59320.0,247.7,4000.0
6,6.024779e-08,0.00016882020000000001,1.303875e-05,0.03553092,1.000798e-12,1.0007980000000001e-08,0.04312718,0.0,1.601148e-08,2.391727e-08,5.634649e-12,3.0023950000000004e-10,9.756493e-09,8.015413e-10,78.15512,3.202296e-05,2.0415770000000002e-08,3.0023949999999995e-08,2.3020940000000003e-09,20.91875,3.8039360000000003e-06,4.403641e-12,1.18071e-08,51580.0,240.9,5000.0
7,6.004241999999999e-08,0.000167291,1.2886910000000001e-05,0.035527630000000004,1.000707e-12,7.445608000000001e-09,0.023704379999999997,0.0,1.6012760000000002e-08,1.791577e-08,9.189428e-12,3.002121e-10,1.110691e-08,6.424641e-10,78.14632,3.202552e-05,1.460902e-08,3.0021209999999995e-08,2.301699e-09,20.911379999999998,4.449275e-06,4.402966e-12,9.717639999999999e-09,44670.0,234.1,6000.0
8,6.006243e-08,0.0001651024,1.248653e-05,0.03553734,1.00104e-12,6.046154e-09,0.014718310000000002,0.0,1.601339e-08,1.3211450000000001e-08,1.531291e-11,3.003121e-10,1.2616860000000001e-08,5.425493e-10,78.17727,3.203492e-05,9.888227e-09,3.003121e-08,2.3026369999999997e-09,20.92492,7.2597830000000005e-06,4.414678e-12,8.308066e-09,38530.0,227.3,7000.0
9,5.984842e-08,0.0001630639,1.1859190000000001e-05,0.03553155,1.010978e-12,5.014377e-09,0.0033865,0.0,1.6011749999999998e-08,9.971668e-09,2.412352e-11,3.0025490000000003e-10,1.391246e-08,4.704086e-10,78.16204,3.197747e-05,6.485727e-09,3.0025489999999997e-08,2.301862e-09,20.91933,1.040442e-05,4.453643e-12,7.215878000000001e-09,33080.0,220.6,8000.0
