z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
-0.61693,3.0025509999999996e-08,2.0017010000000002e-07,7.007061e-08,0.0001701557,1.50146e-05,0.03302696,1.00085e-18,1.00085e-12,2.401893e-07,0.43194210000000005,2.001701e-08,0.0,1.701557e-08,1.0008499999999999e-07,1.00085e-12,3.002551e-10,5.006098e-09,7.704812999999999e-10,78.15568,3.202648e-05,5.006098e-08,3.0025509999999996e-08,2.301845e-09,20.91781,2.780304e-06,4.404333e-12,1.00085e-18,1.00085e-18,3.0025509999999996e-08,110000.0,272.2
0.0,3.0025509999999996e-08,2.0017010000000002e-07,7.007061e-08,0.0001701557,1.50146e-05,0.03302696,1.00085e-18,1.00085e-12,2.401893e-07,0.43194210000000005,2.001701e-08,0.0,1.701557e-08,1.0008499999999999e-07,1.00085e-12,3.002551e-10,5.006098e-09,7.704812999999999e-10,78.15568,3.202648e-05,5.006098e-08,3.0025509999999996e-08,2.301845e-09,20.91781,2.780304e-06,4.404333e-12,1.00085e-18,1.00085e-18,3.0025509999999996e-08,101800.0,272.2
1.0,1.7208039999999997e-08,2.001127e-07,6.702121999999999e-08,0.0001700958,1.4508169999999999e-05,0.0330186,1.000564e-18,1.000564e-12,1.070438e-07,0.34560789999999997,1.9510990000000002e-08,0.0,1.65093e-08,7.495958e-08,1.000564e-12,3.0016910000000003e-10,5.962036e-09,1.060515e-09,78.14318999999999,3.201803e-05,5.002818e-08,3.001691e-08,2.301296e-09,20.91261,2.8015780000000002e-06,4.403307e-12,1.000564e-18,1.000564e-18,2.741627e-08,89730.0,268.7
2.0,9.574823000000001e-09,2.001208e-07,6.435765e-08,0.0001701212,1.3998250000000001e-05,0.03301807,1.000604e-18,1.0006039999999999e-12,4.0422909999999995e-08,0.2789913,1.920992e-08,0.0,1.631197e-08,5.615066e-08,1.2305849999999999e-12,3.001811e-10,6.931894e-09,1.220848e-09,78.1287,3.202118e-05,4.633009e-08,3.001811e-08,2.301203e-09,20.9116,2.850654e-06,4.402564e-12,1.000604e-18,1.000604e-18,2.3614810000000002e-08,78970.0,265.2
3.0,6.7443259999999996e-09,2.001945e-07,6.223528e-08,0.0001701445,1.3504279999999999e-05,0.03303418,1.000972e-18,1.0009719999999999e-12,2.272239e-08,0.20899600000000002,1.892057e-08,0.0,1.6113469999999998e-08,4.224187e-08,1.971739e-12,3.0029170000000003e-10,7.91612e-09,1.141067e-09,78.17168,3.202904e-05,3.803904e-08,3.002917e-08,2.3024449999999997e-09,20.92043,3.202904e-06,4.404383e-12,1.000972e-18,1.000972e-18,1.901952e-08,69380.0,261.7
4.0,5.074768e-09,1.982068e-07,6.072769e-08,0.000169875,1.313251e-05,0.03302866,1.000904e-18,1.000904e-12,1.4014979999999999e-08,0.1281319,1.8415699999999998e-08,0.0,1.601214e-08,3.193138e-08,3.182688e-12,3.002711e-10,8.876925e-09,9.811644000000001e-10,78.14480999999999,3.203008e-05,2.8825329999999998e-08,3.002711e-08,2.3019630000000003e-09,20.91796,3.5705089999999996e-06,4.404209e-12,1.000904e-18,1.000904e-18,1.4612959999999999e-08,60810.0,255.7
5.0,3.992684e-09,1.951244e-07,6.023743e-08,0.00016877899999999998,1.303641e-05,0.033022539999999996,1.000604e-18,1.0006039999999999e-12,1.000604e-08,0.08247524,1.770849e-08,0.0,1.600837e-08,2.391198e-08,5.633105e-12,3.001813e-10,9.752973e-09,8.01392e-10,78.12761,3.2016750000000005e-05,2.041441e-08,3.001813e-08,2.3016500000000002e-09,20.91406,4.722697e-06,4.402789e-12,1.000604e-18,1.000604e-18,1.1809990000000001e-08,53130.0,249.7
6.0,3.1916919999999996e-09,1.900907e-07,6.003784e-08,0.0001673293,1.288603e-05,0.03302226,1.000631e-18,1.000631e-12,7.446552999999999e-09,0.051064160000000004,1.66093e-08,0.0,1.6013e-08,1.7910999999999997e-08,9.184567e-12,3.0018920000000003e-10,1.110438e-08,6.424107e-10,78.17427,3.201872e-05,1.46095e-08,3.001892e-08,2.301596e-09,20.91434,5.8408899999999996e-06,4.402484e-12,1.000631e-18,1.000631e-18,9.715425000000001e-09,46270.0,243.7
7.0,2.803038e-09,1.851803e-07,6.006509e-08,0.00016507679999999998,1.2487000000000001e-05,0.03303171,1.001085e-18,1.001085e-12,6.046552e-09,0.023233339999999998,1.4914120000000002e-08,0.0,1.6017360000000003e-08,1.3214320000000001e-08,1.531455e-11,3.003254e-10,1.261775e-08,5.426288e-10,78.18268,3.203471e-05,9.888266e-09,3.003254e-08,2.302904e-09,20.920630000000003,7.899172e-06,4.41458e-12,1.001085e-18,1.001085e-18,8.311047e-09,40160.0,237.7
8.0,2.550607e-09,1.7906749999999999e-07,5.981814e-08,0.0001629478,1.185493e-05,0.03301327,1.0003459999999999e-18,1.010479e-12,5.011864e-09,0.01077721,1.2306290000000001e-08,0.0,1.600923e-08,9.966619e-09,2.410595e-11,3.0010390000000003e-10,1.3909050000000002e-08,4.701443999999999e-10,78.13019,3.1963190000000005e-05,6.4819870000000006e-09,3.001039e-08,2.300981e-09,20.90963,1.0390339999999999e-05,4.451818e-12,1.0003459999999999e-18,1.0003459999999999e-18,7.212442e-09,34730.0,231.7
