z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
-0.7282161,3.002368e-08,2.0015790000000002e-07,7.005526e-08,0.0001701342,1.5011839999999999e-05,0.03302605,1.000789e-18,1.0007889999999998e-12,2.4018949999999997e-07,2.595108,2.001579e-08,0.0,1.701342e-08,1.0007889999999999e-07,1.0007889999999998e-12,3.002368e-10,5.003947e-09,7.708121e-10,78.14327,3.202526e-05,5.003947e-08,3.002368e-08,2.3018159999999998e-09,20.914460000000002,2.871244e-06,4.4034730000000005e-12,1.000789e-18,1.000789e-18,3.002368e-08,110000.0,299.7
0.0,3.002368e-08,2.0015790000000002e-07,7.005526e-08,0.0001701342,1.5011839999999999e-05,0.03302605,1.000789e-18,1.0007889999999998e-12,2.4018949999999997e-07,2.595108,2.001579e-08,0.0,1.701342e-08,1.0007889999999999e-07,1.0007889999999998e-12,3.002368e-10,5.003947e-09,7.708121e-10,78.14327,3.202526e-05,5.003947e-08,3.002368e-08,2.3018159999999998e-09,20.914460000000002,2.871244e-06,4.4034730000000005e-12,1.000789e-18,1.000789e-18,3.002368e-08,101300.0,299.7
1.0,1.721181e-08,2.001541e-07,6.706192999999999e-08,0.0001701444,1.4511389999999999e-05,0.03302407,1.00077e-18,1.00077e-12,1.070748e-07,1.9504029999999999,1.9513e-08,0.0,1.651204e-08,7.495684e-08,1.00077e-12,3.002311e-10,5.966044e-09,1.060879e-09,78.14172,3.202375e-05,5.006094e-08,3.002311e-08,2.301637e-09,20.91704,3.152583e-06,4.40321e-12,1.00077e-18,1.00077e-18,2.742138e-08,90400.0,293.7
2.0,9.577868e-09,2.001434e-07,6.43459e-08,0.0001701416,1.3999179999999998e-05,0.03302169,1.000717e-18,1.0007169999999999e-12,4.042837e-08,1.535123,1.921495e-08,0.0,1.631346e-08,5.6154630000000003e-08,1.230665e-12,3.0021509999999996e-10,6.932975e-09,1.220796e-09,78.16251,3.202492e-05,4.633497e-08,3.002151e-08,2.301452e-09,20.917350000000003,3.3446050000000005e-06,4.4030560000000005e-12,1.000717e-18,1.000717e-18,2.361653e-08,80500.0,287.7
3.0,6.7438930000000005e-09,2.0018020000000002e-07,6.223446e-08,0.0001701587,1.3504220000000002e-05,0.03302919,1.0009009999999999e-18,1.0009009999999999e-12,2.2718869999999998e-08,0.8606544,1.891687e-08,0.0,1.611193e-08,4.223836e-08,1.971671e-12,3.002703e-10,7.916267999999999e-09,1.1411480000000001e-09,78.17657,3.202664e-05,3.803643e-08,3.002703e-08,2.302018e-09,20.91648,3.507263e-06,4.404074e-12,1.0009009999999999e-18,1.0009009999999999e-18,1.901548e-08,71500.0,283.7
4.0,5.072801e-09,1.9811469999999997e-07,6.072135e-08,0.00017008019999999998,1.3129100000000001e-05,0.03301912,1.000543e-18,1.000543e-12,1.400518e-08,0.44432320000000003,1.840975e-08,0.0,1.6011100000000002e-08,3.191949e-08,3.1816780000000003e-12,3.0016289999999997e-10,8.875589000000001e-09,9.806044999999999e-10,78.1221,3.2016160000000004e-05,2.8813940000000003e-08,3.001629e-08,2.30137e-09,20.91111,3.5629239999999996e-06,4.402147e-12,1.000543e-18,1.000543e-18,1.460938e-08,63300.0,277.0
5.0,3.993074e-09,1.9514719999999998e-07,6.024661e-08,0.0001701112,1.303875e-05,0.03302748,1.0007719999999999e-18,1.000772e-12,1.0007720000000001e-08,0.3348814,1.7712130000000002e-08,0.0,1.600968e-08,2.392106e-08,5.6341e-12,3.002316e-10,9.760698999999999e-09,8.018193999999999e-10,78.17906,3.202604e-05,2.0416020000000002e-08,3.002316e-08,2.301976e-09,20.91674,3.770087e-06,4.403664e-12,1.0007719999999999e-18,1.0007719999999999e-18,1.1810309999999999e-08,55900.0,270.3
6.0,3.192722e-09,1.9018739999999998e-07,6.005217000000001e-08,0.0001701404,1.289368e-05,0.03302943,1.0008690000000001e-18,1.000869e-12,7.449191e-09,0.2103083,1.661458e-08,0.0,1.601539e-08,1.791652e-08,9.187582000000001e-12,3.002608e-10,1.111091e-08,6.425389e-10,78.19061,3.203078e-05,1.460988e-08,3.002608e-08,2.3020739999999997e-09,20.91987,3.992382e-06,4.403678e-12,1.0008690000000001e-18,1.0008690000000001e-18,9.720195e-09,49200.0,263.6
7.0,2.800935e-09,1.850589e-07,6.002708e-08,0.0001699453,1.247689e-05,0.033011610000000004,1.000451e-18,1.000451e-12,6.042956e-09,0.128958,1.49082e-08,0.0,1.600886e-08,1.320793e-08,1.531068e-11,3.001354e-10,1.260832e-08,5.422808e-10,78.1387,3.201773e-05,9.881306000000001e-09,3.001354e-08,2.30071e-09,20.91256,4.225223e-06,4.411678e-12,1.000451e-18,1.000451e-18,8.304239e-09,43200.0,257.0
8.0,2.5526060000000003e-09,1.791944e-07,5.986556000000001e-08,0.000169869,1.186706e-05,0.033032109999999996,1.001112e-18,1.0111679999999999e-12,5.015615e-09,0.07645933,1.2315040000000001e-08,0.0,1.601779e-08,9.974546e-09,2.412725e-11,3.003335e-10,1.391499e-08,4.705682e-10,78.18727,3.203557e-05,6.487569000000001e-09,3.003335e-08,2.303014e-09,20.92735,4.4762029999999995e-06,4.455175e-12,1.001112e-18,1.001112e-18,7.21806e-09,37800.0,250.3
9.0,2.401396e-09,1.721563e-07,5.9447070000000005e-08,0.000169396,1.094889e-05,0.033020469999999996,1.000735e-18,1.05093e-12,4.2231439999999996e-09,0.0410149,9.096475e-09,0.0,1.60093e-08,7.485321e-09,4.043218e-11,3.002511e-10,1.5314140000000002e-08,4.413293e-10,78.15526,3.197772e-05,3.772307e-09,3.002511e-08,2.321656e-09,20.91637,5.004186e-06,4.5635720000000005e-12,1.000735e-18,1.000735e-18,6.565246e-09,32900.0,243.6
