z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
-709.17,3.002606e-10,2.001737e-09,7.005279e-10,1.701397e-06,1.501303e-07,0.0003302947,1.000869e-20,1.000869e-14,2.401925e-09,0.01877431,2.001737e-10,0.0,1.701397e-10,1.000869e-09,1.000869e-14,3.002606e-12,5.004344e-11,7.70701e-12,0.7815277,3.2027e-07,5.004344e-10,3.002606e-10,2.302078e-11,0.209196,3.019448e-08,4.40286e-14,1.000869e-20,1.000869e-20,3.002606e-10,110000.0,294.2
0.0,3.002606e-10,2.001737e-09,7.005279e-10,1.701397e-06,1.501303e-07,0.0003302947,1.000869e-20,1.000869e-14,2.401925e-09,0.01877431,2.001737e-10,0.0,1.701397e-10,1.000869e-09,1.000869e-14,3.002606e-12,5.004344e-11,7.70701e-12,0.7815277,3.2027e-07,5.004344e-10,3.002606e-10,2.302078e-11,0.209196,3.019448e-08,4.40286e-14,1.000869e-20,1.000869e-20,3.002606e-10,101300.0,294.2
1000.0,1.72146e-10,2.001718e-09,6.704912e-10,1.701504e-06,1.451401e-07,0.000330279,1.000859e-20,1.000859e-14,1.070923e-09,0.01379119,1.951608e-10,0.0,1.651395e-10,7.494247e-10,1.000859e-14,3.002577e-12,5.964356e-11,1.060724e-11,0.7817963,3.202571e-07,5.006512e-10,3.002577e-10,2.301931e-11,0.2091737,3.340039e-08,4.403868e-14,1.000859e-20,1.000859e-20,2.742273e-10,90200.0,289.7
2000.0,9.574345e-11,2.001284e-09,6.431996e-10,1.701288e-06,1.399818e-07,0.0003301922,1.000642e-20,1.000642e-14,4.042829e-10,0.009687274,1.921252e-10,0.0,1.631076e-10,5.612039e-10,1.230917e-14,3.001926e-12,6.932808e-11,1.220606e-11,0.7816594,3.20225e-07,4.633001e-10,3.001926e-10,2.30128e-11,0.2091135,3.696188e-08,4.402726e-14,1.000642e-20,1.000642e-20,2.361672e-10,80200.0,285.2
3000.0,6.743385e-11,2.001298e-09,6.222158e-10,1.701049e-06,1.349763e-07,0.0003302196,1.000649e-20,1.000649e-14,2.271685e-10,0.005988691,1.89108e-10,0.0,1.61092e-10,4.222489e-10,1.971436e-14,3.001947e-12,7.916148e-11,1.140729e-11,0.7812988,3.202294e-07,3.802249e-10,3.001947e-10,2.301547e-11,0.2091427,4.22466e-08,4.402747e-14,1.000649e-20,1.000649e-20,1.901396e-10,71000.0,279.2
4000.0,5.073678e-11,1.981539e-09,6.072556e-10,1.698033e-06,1.313018e-07,0.0003302365,1.00068e-20,1.00068e-14,1.400712e-10,0.003815319,1.840988e-10,0.0,1.601329e-10,3.192447e-10,3.182236e-14,3.002041e-12,8.877584e-11,9.80859e-12,0.7814437,3.202057e-07,2.881911e-10,3.002041e-10,2.301685e-11,0.2091458,4.824409e-08,4.402753e-14,1.00068e-20,1.00068e-20,1.460777e-10,62800.0,273.2
5000.0,3.993559e-11,1.951829e-09,6.025299e-10,1.688789e-06,1.303883e-07,0.0003302993,1.000887e-20,1.000887e-14,1.000887e-10,0.002226857,1.771363e-10,0.0,1.601552e-10,2.392006e-10,5.635066e-14,3.002661e-12,9.755817e-11,8.01775e-12,0.7817972,3.203104e-07,2.041729e-10,3.002661e-10,2.302106e-11,0.2091674,5.517197e-08,4.403769e-14,1.000887e-20,1.000887e-20,1.181353e-10,55400.0,267.2
6000.0,3.191691e-11,1.900944e-09,6.002748e-10,1.672861e-06,1.288525e-07,0.0003301289,1.000458e-20,1.000458e-14,7.442342e-11,0.001510684,1.661012e-10,0.0,1.601029e-10,1.790605e-10,9.182591e-14,3.001374e-12,1.110797e-10,6.42263e-12,0.7812607,3.201318e-07,1.460328e-10,3.001374e-10,2.300831e-11,0.2091261,6.410781e-08,4.401719e-14,1.000458e-20,1.000458e-20,9.715773e-11,48700.0,261.2
7000.0,2.801757e-11,1.850778e-09,6.003058e-10,1.650181e-06,1.247335e-07,0.0003302012,1.00051e-20,1.00051e-14,6.042682e-11,0.001020322,1.490858e-10,0.0,1.60065e-10,1.320805e-10,1.530483e-13,3.001529e-12,1.260543e-10,5.422729e-12,0.7814212,3.201301e-07,9.881271e-11,3.001529e-10,2.301502e-11,0.2090999,7.767983e-08,4.412314e-14,1.00051e-20,1.00051e-20,8.30456e-11,42600.0,254.7
8000.0,2.550828e-11,1.79083e-09,5.982331e-10,1.629619e-06,1.185596e-07,0.0003301613,1.000433e-20,1.010566e-14,5.012298e-11,0.0006466887,1.230735e-10,0.0,1.601061e-10,9.967481e-11,2.410804e-13,3.001299e-12,1.391026e-10,4.701851e-12,0.7813695,3.196595e-07,6.482548e-11,3.001299e-10,2.30118e-11,0.2091144,9.130102e-08,4.452203e-14,1.000433e-20,1.000433e-20,7.213066e-11,37200.0,248.2
9000.0,2.401925e-11,1.721105e-09,5.944044e-10,1.616047e-06,1.094874e-07,0.0003302132,1.000734e-20,1.050585e-14,4.222939e-11,0.00041323,9.096829e-11,0.0,1.601627e-10,7.485932e-11,4.042692e-13,3.002407e-12,1.531588e-10,4.413486e-12,0.7815527,3.165144e-07,3.772836e-11,3.002407e-10,2.321587e-11,0.20919,1.111354e-07,4.562834e-14,1.000734e-20,1.000734e-20,6.565125e-11,32400.0,241.7
10000.0,2.271839e-11,1.581616e-09,5.884814e-10,1.58046e-06,9.969499e-08,0.000330197,1.000765e-20,1.210491e-14,3.63263e-11,0.0002474165,5.794634e-11,0.0,1.601271e-10,5.684799e-11,6.575036e-13,3.002527e-12,1.741165e-10,4.343663e-12,0.7815587,3.098487e-07,2.031359e-11,3.002527e-10,2.381673e-11,0.2091479,1.305296e-07,4.683572e-14,1.000765e-20,1.000765e-20,6.084828e-11,28100.0,235.3
11000.0,2.081327e-11,1.301317e-09,5.794176e-10,1.54312e-06,8.970118e-08,0.0003302043,1.000753e-20,1.872025e-14,3.432045e-11,9.562926e-05,3.432045e-11,0.0,1.601621e-10,4.59296e-11,1.200956e-12,3.00174e-12,2.021527e-10,4.654061e-12,0.7815703,2.991339e-07,1.090844e-11,3.00174e-10,2.622135e-11,0.2091728,1.794024e-07,4.803563e-14,1.000753e-20,1.000753e-20,5.794176e-11,24300.0,228.8
12000.0,1.760807e-11,9.867273e-10,5.664246e-10,1.509682e-06,7.818628e-08,0.0003302798,1.000679e-20,3.182375e-14,3.39238e-11,2.945937e-05,1.95172e-11,0.0,1.600733e-10,4.3631e-11,1.962e-12,3.001742e-12,2.41138e-10,5.013673e-12,0.7815691,2.938594e-07,6.30454e-12,3.001742e-10,3.151536e-11,0.2091233,2.232215e-07,4.943182e-14,1.000679e-20,1.000679e-20,5.604035e-11,20900.0,222.3
13000.0,1.230937e-11,7.225826e-10,5.484703e-10,1.480121e-06,6.378569e-08,0.0003302474,1.00073e-20,5.614539e-14,3.50222e-11,8.006502e-06,1.080795e-11,0.0,1.591147e-10,6.515062e-11,3.122702e-12,3.002854e-12,2.761494e-10,5.223369e-12,0.7815078,2.861367e-07,3.122702e-12,2.992867e-10,4.45268e-11,0.2092344,3.002854e-07,5.193407e-14,1.00073e-20,1.00073e-20,5.594564e-11,17900.0,215.8
14000.0,7.324741e-12,4.963616e-10,5.282845e-10,1.452101e-06,5.027852e-08,0.0003303238,1.000704e-20,9.997308e-14,3.622467e-11,5.004493e-06,6.594797e-12,0.0,1.571033e-10,1.010631e-10,4.622976e-12,3.001528e-12,3.332436e-10,5.60402e-12,0.7815263,2.801037e-07,1.110877e-12,2.952865e-10,7.484355e-11,0.2090558,4.40302e-07,5.65463e-14,1.000704e-20,1.000704e-20,5.644897e-11,15300.0,215.7
15000.0,4.522236e-12,3.351587e-10,5.033107e-10,1.422878e-06,3.942639e-08,0.0003301187,1.000665e-20,1.781175e-13,3.621913e-11,3.401986e-06,4.203801e-12,0.0,1.550939e-10,1.631121e-10,7.094917e-12,3.001079e-12,4.522236e-10,6.863536e-12,0.781426,2.726171e-07,4.471837e-13,2.831552e-10,1.711073e-10,0.2091363,5.003325e-07,6.753573e-14,1.000665e-20,1.000665e-20,5.754741e-11,13000.0,215.7
16000.0,2.592081e-12,2.141599e-10,4.773121e-10,1.391154e-06,3.072076e-08,0.0003302817,1.000772e-20,3.163299e-13,3.581853e-11,3.302817e-06,2.94329e-12,0.0,1.521281e-10,2.371804e-10,1.050945e-11,3.002317e-12,7.375666e-10,8.776211e-12,0.7815684,2.613009e-07,2.111549e-13,2.681963e-10,3.192813e-10,0.2091695,6.004634e-07,8.255702e-14,1.000772e-20,1.000772e-20,5.755112e-11,11100.0,215.7
17000.0,1.551156e-12,1.490966e-10,4.492334e-10,1.356792e-06,2.490691e-08,0.0003301066,1.000665e-20,5.652253e-13,3.501701e-11,3.200749e-06,2.301655e-12,0.0,1.490966e-10,3.132094e-10,1.690974e-11,3.001995e-12,1.311022e-09,1.200673e-11,0.7815345,2.422663e-07,1.100669e-13,2.521726e-10,5.194555e-10,0.2091302,7.003402e-07,1.040792e-13,1.000665e-20,1.000665e-20,5.373245e-11,9500.0,215.7
18000.0,8.637238e-13,1.050993e-10,4.213556e-10,1.324155e-06,1.967801e-08,0.0003302647,1.000858e-20,1.04104e-12,3.422823e-11,3.15261e-06,2.242069e-12,0.0,1.451336e-10,3.852289e-10,2.572371e-11,3.002574e-12,2.111939e-09,1.631232e-11,0.781517,2.175714e-07,6.705563e-14,2.402059e-10,7.715637e-10,0.2091664,1.000858e-06,1.3013e-13,1.000858e-20,1.000858e-20,4.784948e-11,8120.0,216.8
19000.0,5.302832e-13,7.96507e-11,3.953099e-10,1.282203e-06,1.550158e-08,0.0003302907,1.000828e-20,2.041482e-12,3.392946e-11,3.202477e-06,2.682151e-12,0.0,1.411203e-10,4.424077e-10,4.023226e-11,3.002485e-12,3.172608e-09,2.26182e-11,0.7817889,1.84452e-07,3.973444e-14,2.4419e-10,1.060999e-09,0.2091697,1.501242e-06,1.641497e-13,1.000828e-20,1.000828e-20,3.973444e-11,6950.0,217.9
20000.0,3.101775e-13,6.012296e-11,3.691815e-10,1.22484e-06,1.331658e-08,0.0003301676,1.000523e-20,4.64249e-12,3.431892e-11,3.301676e-06,3.68215e-12,0.0,1.370824e-10,4.892748e-10,5.773229e-11,3.00157e-12,4.201995e-09,3.071765e-11,0.7812933,1.607857e-07,2.411022e-14,2.551411e-10,1.390661e-09,0.2091079,2.001047e-06,2.161273e-13,1.000523e-20,1.000523e-20,3.191807e-11,5950.0,219.2
21000.0,1.891472e-13,4.572948e-11,3.432097e-10,1.154574e-06,1.232739e-08,0.0003302021,1.000631e-20,8.156602e-12,3.682106e-11,3.452385e-06,5.623699e-12,0.0,1.340738e-10,5.223328e-10,7.774727e-11,3.001892e-12,4.942889e-09,4.292509e-11,0.7816495,1.324031e-07,1.921306e-14,2.771574e-10,1.761396e-09,0.209136,2.401633e-06,3.402264e-13,1.000631e-20,1.000631e-20,2.671928e-11,5100.0,220.4
