z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
-616.93,3.002551e-10,2.001701e-09,7.007061e-10,1.701557e-06,1.50146e-07,0.0003302696,1.00085e-20,1.00085e-14,2.401893e-09,0.004319421,2.001701e-10,0.0,1.701557e-10,1.00085e-09,1.00085e-14,3.002551e-12,5.006098e-11,7.704813e-12,0.7815568,3.202648e-07,5.006098e-10,3.002551e-10,2.301845e-11,0.2091781,2.780304e-08,4.404333e-14,1.00085e-20,1.00085e-20,3.002551e-10,110000.0,272.2
0.0,3.002551e-10,2.001701e-09,7.007061e-10,1.701557e-06,1.50146e-07,0.0003302696,1.00085e-20,1.00085e-14,2.401893e-09,0.004319421,2.001701e-10,0.0,1.701557e-10,1.00085e-09,1.00085e-14,3.002551e-12,5.006098e-11,7.704813e-12,0.7815568,3.202648e-07,5.006098e-10,3.002551e-10,2.301845e-11,0.2091781,2.780304e-08,4.404333e-14,1.00085e-20,1.00085e-20,3.002551e-10,101800.0,272.2
1000.0,1.720804e-10,2.001127e-09,6.702122e-10,1.700958e-06,1.450817e-07,0.000330186,1.000564e-20,1.000564e-14,1.070438e-09,0.003456079,1.951099e-10,0.0,1.65093e-10,7.495958e-10,1.000564e-14,3.001691e-12,5.962036e-11,1.060515e-11,0.7814319,3.201803e-07,5.002818e-10,3.001691e-10,2.301296e-11,0.2091261,2.801578e-08,4.403307e-14,1.000564e-20,1.000564e-20,2.741627e-10,89730.0,268.7
2000.0,9.574823e-11,2.001208e-09,6.435765e-10,1.701212e-06,1.399825e-07,0.0003301807,1.000604e-20,1.000604e-14,4.042291e-10,0.002789913,1.920992e-10,0.0,1.631197e-10,5.615066e-10,1.230585e-14,3.001811e-12,6.931894e-11,1.220848e-11,0.781287,3.202118e-07,4.633009e-10,3.001811e-10,2.301203e-11,0.209116,2.850654e-08,4.402564e-14,1.000604e-20,1.000604e-20,2.361481e-10,78970.0,265.2
3000.0,6.744326e-11,2.001945e-09,6.223528e-10,1.701445e-06,1.350428e-07,0.0003303418,1.000972e-20,1.000972e-14,2.272239e-10,0.00208996,1.892057e-10,0.0,1.611347e-10,4.224187e-10,1.971739e-14,3.002917e-12,7.91612e-11,1.141067e-11,0.7817168,3.202904e-07,3.803904e-10,3.002917e-10,2.302445e-11,0.2092043,3.202904e-08,4.404383e-14,1.000972e-20,1.000972e-20,1.901952e-10,69380.0,261.7
4000.0,5.074768e-11,1.982068e-09,6.072769e-10,1.69875e-06,1.313251e-07,0.0003302866,1.000904e-20,1.000904e-14,1.401498e-10,0.001281319,1.84157e-10,0.0,1.601214e-10,3.193138e-10,3.182688e-14,3.002711e-12,8.876925e-11,9.811644e-12,0.7814481,3.203008e-07,2.882533e-10,3.002711e-10,2.301963e-11,0.2091796,3.570509e-08,4.404209e-14,1.000904e-20,1.000904e-20,1.461296e-10,60810.0,255.7
5000.0,3.992684e-11,1.951244e-09,6.023743e-10,1.68779e-06,1.303641e-07,0.0003302254,1.000604e-20,1.000604e-14,1.000604e-10,0.0008247524,1.770849e-10,0.0,1.600837e-10,2.391198e-10,5.633105e-14,3.001813e-12,9.752973e-11,8.01392e-12,0.7812761,3.201675e-07,2.041441e-10,3.001813e-10,2.30165e-11,0.2091406,4.722697e-08,4.402789e-14,1.000604e-20,1.000604e-20,1.180999e-10,53130.0,249.7
6000.0,3.191692e-11,1.900907e-09,6.003784e-10,1.673293e-06,1.288603e-07,0.0003302226,1.000631e-20,1.000631e-14,7.446553e-11,0.0005106416,1.66093e-10,0.0,1.6013e-10,1.7911e-10,9.184567e-14,3.001892e-12,1.110438e-10,6.424107e-12,0.7817427,3.201872e-07,1.46095e-10,3.001892e-10,2.301596e-11,0.2091434,5.84089e-08,4.402484e-14,1.000631e-20,1.000631e-20,9.715425e-11,46270.0,243.7
7000.0,2.803038e-11,1.851803e-09,6.006509e-10,1.650768e-06,1.2487e-07,0.0003303171,1.001085e-20,1.001085e-14,6.046552e-11,0.0002323334,1.491412e-10,0.0,1.601736e-10,1.321432e-10,1.531455e-13,3.003254e-12,1.261775e-10,5.426288e-12,0.7818268,3.203471e-07,9.888266e-11,3.003254e-10,2.302904e-11,0.2092063,7.899172e-08,4.41458e-14,1.001085e-20,1.001085e-20,8.311047e-11,40160.0,237.7
8000.0,2.550607e-11,1.790675e-09,5.981814e-10,1.629478e-06,1.185493e-07,0.0003301327,1.000346e-20,1.010479e-14,5.011864e-11,0.0001077721,1.230629e-10,0.0,1.600923e-10,9.966619e-11,2.410595e-13,3.001039e-12,1.390905e-10,4.701444e-12,0.7813019,3.196319e-07,6.481987e-11,3.001039e-10,2.300981e-11,0.2090963,1.039034e-07,4.451818e-14,1.000346e-20,1.000346e-20,7.212442e-11,34730.0,231.7
9000.0,2.401993e-11,1.721064e-09,5.945115e-10,1.615905e-06,1.095317e-07,0.0003302611,1.000778e-20,1.050547e-14,4.22301e-11,5.570292e-05,9.096755e-11,0.0,1.601329e-10,7.486056e-11,4.042887e-13,3.002752e-12,1.53157e-10,4.413545e-12,0.7816109,3.165175e-07,3.773222e-11,3.002752e-10,2.321823e-11,0.2091723,1.568011e-07,4.563475e-14,1.000778e-20,1.000778e-20,6.564615e-11,29930.0,225.7
10000.0,2.271505e-11,1.581667e-09,5.884887e-10,1.580485e-06,9.969579e-08,0.0003302718,1.000738e-20,1.210761e-14,3.632282e-11,2.962524e-05,5.793932e-11,0.0,1.601748e-10,5.684078e-11,6.574725e-13,3.002686e-12,1.741133e-10,4.343382e-12,0.7816197,3.098366e-07,2.031715e-11,3.002686e-10,2.381359e-11,0.2091958,2.371909e-07,4.683576e-14,1.000738e-20,1.000738e-20,6.084514e-11,25680.0,219.7
11000.0,2.080973e-11,1.300883e-09,5.794244e-10,1.542838e-06,8.970756e-08,0.0003301756,1.000711e-20,1.871775e-14,3.432504e-11,1.000711e-05,3.432504e-11,0.0,1.600643e-10,4.59273e-11,1.200826e-12,3.001721e-12,2.021792e-10,4.653287e-12,0.7816036,2.990711e-07,1.090722e-11,3.001721e-10,2.621861e-11,0.2091983,3.626563e-07,4.803304e-14,1.000711e-20,1.000711e-20,5.794244e-11,21990.0,219.2
12000.0,1.761695e-11,9.86742e-10,5.663739e-10,1.508993e-06,7.820131e-08,0.0003301976,1.000701e-20,3.181641e-14,3.391825e-11,6.003884e-06,1.951022e-11,0.0,1.601089e-10,4.362523e-11,1.960648e-12,3.001942e-12,2.411501e-10,5.013933e-12,0.7815317,2.937764e-07,6.303917e-12,3.001942e-10,3.152761e-11,0.2092214,5.235348e-07,4.943337e-14,1.000701e-20,1.000701e-20,5.604374e-11,18820.0,218.7
13000.0,1.230882e-11,7.224091e-10,5.483053e-10,1.479976e-06,6.378818e-08,0.0003302548,1.000676e-20,5.613958e-14,3.502646e-11,5.002445e-06,1.080715e-11,0.0,1.591058e-10,6.515333e-11,3.123022e-12,3.001467e-12,2.762097e-10,5.223113e-12,0.7815034,2.861211e-07,3.123022e-12,2.992116e-10,4.452643e-11,0.2090741,7.040824e-07,5.193192e-14,1.000676e-20,1.000676e-20,5.593388e-11,16110.0,218.2
14000.0,7.32469e-12,4.96456e-10,5.283025e-10,1.452068e-06,5.027817e-08,0.0003302436,1.000765e-20,9.99674e-14,3.623082e-11,4.803147e-06,6.593966e-12,0.0,1.571166e-10,1.010798e-10,4.624283e-12,3.001421e-12,3.332974e-10,5.603671e-12,0.7815474,2.802926e-07,1.110919e-12,2.951252e-10,7.486103e-11,0.2091616,8.005244e-07,5.65384e-14,1.000765e-20,1.000765e-20,5.645115e-11,13780.0,217.7
15000.0,4.523778e-12,3.352738e-10,5.032926e-10,1.423068e-06,3.94335e-08,0.0003301823,1.00073e-20,1.781253e-13,3.622586e-11,4.704525e-06,4.203015e-12,0.0,1.551119e-10,1.631309e-10,7.094974e-12,3.001426e-12,4.523778e-10,6.865858e-12,0.7815418,2.726486e-07,4.472863e-13,2.830862e-10,1.711246e-10,0.2091579,9.006824e-07,6.753845e-14,1.00073e-20,1.00073e-20,5.75337e-11,11780.0,217.2
16000.0,2.591759e-12,2.141626e-10,4.774684e-10,1.391106e-06,3.072199e-08,0.0003300979,1.000693e-20,3.161334e-13,3.583241e-11,4.602356e-06,2.942061e-12,0.0,1.520946e-10,2.371595e-10,1.050609e-11,3.00089e-12,7.374465e-10,8.776862e-12,0.78142,2.612855e-07,2.11132e-13,2.681786e-10,3.191046e-10,0.2091413,1.100822e-06,8.256905e-14,1.000693e-20,1.000693e-20,5.755173e-11,10070.0,216.7
17000.0,1.550782e-12,1.490803e-10,4.493212e-10,1.356631e-06,2.490335e-08,0.0003301956,1.000572e-20,5.654651e-13,3.501654e-11,4.503612e-06,2.301384e-12,0.0,1.490803e-10,3.131727e-10,1.690848e-11,3.001715e-12,1.310867e-09,1.200617e-11,0.7814582,2.422382e-07,1.100767e-13,2.521538e-10,5.193542e-10,0.2091285,1.400662e-06,1.040442e-13,1.000572e-20,1.000572e-20,5.373826e-11,8610.0,216.2
