z,CH3Cl,CH4,CO,CO2,ClO,H2CO,H2O,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,SO2,p,t
-717.22,7.004179e-10,1.701183e-06,1.501344e-07,0.0003552736,1.000765e-14,2.401994e-09,0.01195108,0.0,1.701183e-10,1.000765e-09,1.000765e-14,3.002296e-12,5.001863e-11,7.706953e-12,0.7816884,3.102412e-07,5.005789e-10,3.002296e-10,2.301878e-11,0.2091438,2.413772e-08,4.405095e-14,3.002296e-10,110000.0,287.2
0.0,7.004179e-10,1.701183e-06,1.501344e-07,0.0003552736,1.000765e-14,2.401994e-09,0.01195108,0.0,1.701183e-10,1.000765e-09,1.000765e-14,3.002296e-12,5.001863e-11,7.706953e-12,0.7816884,3.102412e-07,5.005789e-10,3.002296e-10,2.301878e-11,0.2091438,2.413772e-08,4.405095e-14,3.002296e-10,101000.0,287.2
1000.0,6.702325e-10,1.700758e-06,1.450723e-07,0.0003552145,1.000574e-14,1.070462e-09,0.008707813,0.0,1.650838e-10,7.492365e-10,1.000574e-14,3.001721e-12,5.964374e-11,1.060478e-11,0.7813591,3.101561e-07,5.005039e-10,3.001721e-10,2.301103e-11,0.2091004,2.941817e-08,4.401656e-14,2.741702e-10,89600.0,281.7
2000.0,6.432698e-10,1.701273e-06,1.400086e-07,0.0003552659,1.000749e-14,4.042929e-10,0.006755055,0.0,1.631028e-10,5.614779e-10,1.230729e-14,3.002247e-12,6.933073e-11,1.221106e-11,0.7813539,3.102322e-07,4.633275e-10,3.002247e-10,2.301722e-11,0.2091469,3.381377e-08,4.403295e-14,2.361864e-10,79290.0,276.3
3000.0,6.224955e-10,1.70131e-06,1.350254e-07,0.0003552766,1.000802e-14,2.271975e-10,0.004823939,0.0,1.611542e-10,4.223351e-10,1.971681e-14,3.002405e-12,7.918784e-11,1.140796e-11,0.7817261,3.102325e-07,3.802833e-10,3.002405e-10,2.301898e-11,0.2091905,3.889929e-08,4.403421e-14,1.901684e-10,70000.0,270.9
4000.0,6.075876e-10,1.698389e-06,1.313365e-07,0.0003553286,1.000942e-14,1.401439e-10,0.00338309,0.0,1.601389e-10,3.193257e-10,3.18314e-14,3.002827e-12,8.878753e-11,9.807094e-12,0.7819491,3.081975e-07,2.882619e-10,3.002827e-10,2.302406e-11,0.2091744,4.482223e-08,4.404266e-14,1.461543e-10,61600.0,265.5
5000.0,6.026048e-10,1.688727e-06,1.304383e-07,0.0003553364,1.001022e-14,1.001022e-10,0.002220437,0.0,1.601768e-10,2.392364e-10,5.635729e-14,3.003067e-12,9.757976e-11,8.018799e-12,0.7819657,3.026964e-07,2.041873e-10,3.003067e-10,2.302086e-11,0.2092322,5.333696e-08,4.404365e-14,1.180914e-10,54100.0,260.1
6000.0,6.002667e-10,1.672814e-06,1.288708e-07,0.000355132,1.000444e-14,7.446197e-11,0.001330731,0.0,1.600564e-10,1.790773e-10,9.1861e-14,3.001333e-12,1.110294e-10,6.422898e-12,0.781482,2.906966e-07,1.460487e-10,3.001333e-10,2.300948e-11,0.2090833,6.566661e-08,4.402103e-14,9.716918e-11,47400.0,253.1
7000.0,6.002687e-10,1.649587e-06,1.247269e-07,0.0003551754,1.000448e-14,6.043001e-11,0.0007974787,0.0,1.601046e-10,1.320492e-10,1.53029e-13,3.001344e-12,1.260433e-10,5.422658e-12,0.7813531,2.823632e-07,9.881068e-11,3.001344e-10,2.301195e-11,0.2090574,7.74113e-08,4.412337e-14,8.301414e-11,41300.0,246.1
8000.0,5.98522e-10,1.630158e-06,1.185821e-07,0.0003552862,1.011029e-14,5.014669e-11,0.0003999959,0.0,1.60164e-10,9.9723e-11,2.412119e-13,3.002729e-12,1.39097e-10,4.704644e-12,0.7816848,2.761702e-07,6.485675e-11,3.002729e-10,2.301725e-11,0.2091975,9.122263e-08,4.454417e-14,7.216118e-11,35900.0,239.2
9000.0,5.943658e-10,1.616403e-06,1.09445e-07,0.0003552579,1.051126e-14,4.223071e-11,0.0001300755,0.0,1.60093e-10,7.484759e-11,4.042554e-13,3.001743e-12,1.530786e-10,4.412872e-12,0.7814848,2.704663e-07,3.772294e-11,3.001743e-10,2.321967e-11,0.2091936,1.421444e-07,4.563475e-14,6.564637e-11,31080.0,232.2
10000.0,5.88416e-10,1.57964e-06,9.969157e-08,0.0003553029,1.211445e-14,3.633173e-11,4.242961e-05,0.0,1.601709e-10,5.684382e-11,6.575253e-13,3.002478e-12,1.741089e-10,4.34285e-12,0.7815735,2.652867e-07,2.031464e-11,3.002478e-10,2.382237e-11,0.2091862,1.890922e-07,4.683169e-14,6.0851e-11,26770.0,225.2
11000.0,5.794181e-10,1.542501e-06,8.96976e-08,0.0003552755,1.871009e-14,3.432437e-11,1.330931e-05,0.0,1.600632e-10,4.593707e-11,1.200745e-12,3.002537e-12,2.021069e-10,4.65319e-12,0.7815249,2.602379e-07,1.090701e-11,3.002537e-10,2.621306e-11,0.2091367,3.052557e-07,4.803249e-14,5.794181e-11,23000.0,225.2
