z,CH3Cl,CH4,CO,CO2,ClO,H2CO,H2O,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,SO2,p,t
-619.98,7.00767e-10,1.701612e-06,1.501443e-07,0.0003554666,1.000845e-14,2.402029e-09,0.001406091,0.0,1.701262e-10,1.000845e-09,1.000845e-14,3.002536e-12,5.005979e-11,7.705282e-12,0.7817461,3.202705e-07,5.005979e-10,3.002536e-10,2.302119e-11,0.2091784,1.803625e-08,4.403018e-14,3.002536e-10,110000.0,257.2
0.0,7.00767e-10,1.701612e-06,1.501443e-07,0.0003554666,1.000845e-14,2.402029e-09,0.001406091,0.0,1.701262e-10,1.000845e-09,1.000845e-14,3.002536e-12,5.005979e-11,7.705282e-12,0.7817461,3.202705e-07,5.005979e-10,3.002536e-10,2.302119e-11,0.2091784,1.803625e-08,4.403018e-14,3.002536e-10,101300.0,257.2
1000.0,6.702325e-10,1.70166e-06,1.451427e-07,0.0003553217,1.000929e-14,1.071042e-09,0.001616637,0.0,1.651694e-10,7.498907e-10,1.000929e-14,3.002786e-12,5.963666e-11,1.060968e-11,0.7817238,3.203053e-07,5.004644e-10,3.002786e-10,2.302056e-11,0.2092119,2.073986e-08,4.404248e-14,2.74248e-10,88780.0,259.1
2000.0,6.434762e-10,1.70094e-06,1.400106e-07,0.0003552297,1.00066e-14,4.04263e-10,0.001427826,0.0,1.630958e-10,5.612239e-10,1.230603e-14,3.00198e-12,6.934637e-11,1.220605e-11,0.7816236,3.20193e-07,4.63521e-10,3.00198e-10,2.3017e-11,0.2091298,2.3376e-08,4.402995e-14,2.361685e-10,77750.0,255.9
3000.0,6.225643e-10,1.701402e-06,1.350344e-07,0.0003552671,1.000825e-14,2.271615e-10,0.001167116,0.0,1.611584e-10,4.22348e-10,1.971368e-14,3.002474e-12,7.914214e-11,1.14094e-11,0.7816698,3.202639e-07,3.803134e-10,3.002474e-10,2.301897e-11,0.2091467,2.769462e-08,4.403629e-14,1.901567e-10,67980.0,252.7
4000.0,6.076658e-10,1.698466e-06,1.313342e-07,0.0003553173,1.000861e-14,1.400975e-10,0.0007904268,0.0,1.601609e-10,3.19284e-10,3.182462e-14,3.002584e-12,8.878608e-11,9.806827e-12,0.7817788,3.202641e-07,2.882665e-10,3.002584e-10,2.302096e-11,0.2091662,3.255682e-08,4.403559e-14,1.461511e-10,59320.0,247.7
5000.0,6.024779e-10,1.688202e-06,1.303875e-07,0.0003553092,1.000798e-14,1.000798e-10,0.0004312718,0.0,1.601148e-10,2.391727e-10,5.634649e-14,3.002395e-12,9.756493e-11,8.015413e-12,0.7815512,3.202296e-07,2.041577e-10,3.002395e-10,2.302094e-11,0.2091875,3.803936e-08,4.403641e-14,1.18071e-10,51580.0,240.9
6000.0,6.004242e-10,1.67291e-06,1.288691e-07,0.0003552763,1.000707e-14,7.445608e-11,0.0002370438,0.0,1.601276e-10,1.791577e-10,9.189428e-14,3.002121e-12,1.110691e-10,6.424641e-12,0.7814632,3.202552e-07,1.460902e-10,3.002121e-10,2.301699e-11,0.2091138,4.449275e-08,4.402966e-14,9.71764e-11,44670.0,234.1
7000.0,6.006243e-10,1.651024e-06,1.248653e-07,0.0003553734,1.00104e-14,6.046154e-11,0.0001471831,0.0,1.601339e-10,1.321145e-10,1.531291e-13,3.003121e-12,1.261686e-10,5.425493e-12,0.7817727,3.203492e-07,9.888227e-11,3.003121e-10,2.302637e-11,0.2092492,7.259783e-08,4.414678e-14,8.308066e-11,38530.0,227.3
8000.0,5.984842e-10,1.630639e-06,1.185919e-07,0.0003553155,1.010978e-14,5.014377e-11,3.3865e-05,0.0,1.601175e-10,9.971668e-11,2.412352e-13,3.002549e-12,1.391246e-10,4.704086e-12,0.7816204,3.197747e-07,6.485727e-11,3.002549e-10,2.301862e-11,0.2091933,1.040442e-07,4.453643e-14,7.215878e-11,33080.0,220.6
9000.0,5.943698e-10,1.616576e-06,1.095031e-07,0.0003552226,1.050721e-14,4.223238e-11,2.97768e-05,0.0,1.600675e-10,7.485011e-11,4.043029e-13,3.002061e-12,1.530712e-10,4.412987e-12,0.7815746,3.165308e-07,3.772717e-11,3.002061e-10,2.321509e-11,0.2091478,2.101018e-07,4.563514e-14,6.564888e-11,28290.0,217.2
10000.0,5.8849e-10,1.580055e-06,9.968983e-08,0.0003552024,1.210838e-14,3.632639e-11,2.001734e-05,0.0,1.601139e-10,5.683982e-11,6.574469e-13,3.002601e-12,1.741285e-10,4.343292e-12,0.7815941,3.098099e-07,2.0315e-11,3.002601e-10,2.381245e-11,0.2091031,3.002601e-07,4.683115e-14,6.084577e-11,24180.0,217.2
11000.0,5.794644e-10,1.543691e-06,8.970526e-08,0.00035531,1.87158e-14,3.432681e-11,1.000787e-05,0.0,1.601724e-10,4.59335e-11,1.201003e-12,3.001782e-12,2.021016e-10,4.654286e-12,0.781566,2.991626e-07,1.090884e-11,3.001782e-10,2.621663e-11,0.2092107,3.502321e-07,4.803722e-14,5.794644e-11,20670.0,217.2
12000.0,5.663231e-10,1.507082e-06,7.819843e-08,0.0003552467,3.182277e-14,3.392844e-11,6.004553e-06,0.0,1.601158e-10,4.362471e-11,1.961329e-12,3.002276e-12,2.411331e-10,5.012851e-12,0.7814749,2.937748e-07,6.30512e-12,3.002276e-10,3.151711e-11,0.2092084,4.002469e-07,4.943228e-14,5.603797e-11,17660.0,217.2
13000.0,5.483383e-10,1.472033e-06,6.379075e-08,0.0003552978,5.61446e-14,3.503328e-11,4.452642e-06,0.0,1.591194e-10,6.514124e-11,3.122013e-12,3.002852e-12,2.762545e-10,5.223216e-12,0.7814963,2.861845e-07,3.122013e-12,2.992922e-10,4.452642e-11,0.2091272,6.504194e-07,5.193425e-14,5.5946e-11,15100.0,217.2
14000.0,5.284626e-10,1.435095e-06,5.029106e-08,0.0003551733,9.997816e-14,3.621421e-11,4.504128e-06,0.0,1.571218e-10,1.010699e-10,4.622596e-12,3.001203e-12,3.33338e-10,5.602865e-12,0.7816601,2.801433e-07,1.110817e-12,2.952422e-10,7.484424e-11,0.2091551,9.005932e-07,5.653969e-14,5.644678e-11,12910.0,217.2
15000.0,5.035291e-10,1.390143e-06,3.945037e-08,0.0003553524,1.781384e-13,3.624214e-11,4.554057e-06,0.0,1.55137e-10,1.631304e-10,7.096172e-12,3.001599e-12,4.52415e-10,6.865071e-12,0.7816665,2.726996e-07,4.472492e-13,2.833031e-10,1.71151e-10,0.2091604,1.200912e-06,6.756317e-14,5.755784e-11,11030.0,217.2
16000.0,4.772397e-10,1.34293e-06,3.071457e-08,0.0003551551,3.162466e-13,3.583261e-11,4.604332e-06,0.0,1.521142e-10,2.371929e-10,1.050879e-11,3.002329e-12,7.37581e-10,8.777405e-12,0.7816583,2.612927e-07,2.111587e-13,2.682055e-10,3.193225e-10,0.209161,1.501165e-06,8.257356e-14,5.755415e-11,9431.0,216.6
17000.0,4.493084e-10,1.290929e-06,2.490812e-08,0.0003552645,5.655216e-13,3.502681e-11,4.652229e-06,0.0,1.491156e-10,3.132575e-10,1.691383e-11,3.002298e-12,1.310915e-09,1.200993e-11,0.7816633,2.422712e-07,1.100694e-13,2.5219e-10,5.192583e-10,0.2091467,1.901603e-06,1.040737e-13,5.373935e-11,8058.0,216.0
18000.0,4.213422e-10,1.231184e-06,1.96756e-08,0.0003553103,1.041039e-12,3.423027e-11,4.706068e-06,0.0,1.451146e-10,3.853445e-10,2.572132e-11,3.002549e-12,2.111897e-09,1.631351e-11,0.7817519,2.175854e-07,6.706904e-14,2.401867e-10,7.718125e-10,0.2091586,2.451996e-06,1.301191e-13,4.783855e-11,6882.0,215.4
19000.0,3.952137e-10,1.161562e-06,1.549759e-08,0.0003551825,2.040936e-12,3.391801e-11,4.752762e-06,0.0,1.410937e-10,4.422113e-10,4.022306e-11,3.001585e-12,3.171705e-09,2.261032e-11,0.7814419,1.844062e-07,3.97233e-14,2.441249e-10,1.0606e-09,0.2090912,3.101537e-06,1.640624e-13,3.97233e-11,5875.0,214.8
20000.0,3.69358e-10,1.085306e-06,1.332449e-08,0.0003553198,4.644403e-12,3.433461e-11,4.804839e-06,0.0,1.371379e-10,4.894495e-10,5.775716e-11,3.002877e-12,4.203792e-09,3.073068e-11,0.7815384,1.622651e-07,2.412447e-14,2.552239e-10,1.391433e-09,0.2092164,3.703607e-06,2.162355e-13,3.192806e-11,5014.0,214.2
21000.0,3.431855e-10,1.014318e-06,1.232903e-08,0.0003551836,8.157293e-12,3.682159e-11,4.852314e-06,0.0,1.340471e-10,5.222598e-10,7.771149e-11,3.00158e-12,4.942644e-09,4.292405e-11,0.7812522,1.362537e-07,1.921067e-14,2.771273e-10,1.761093e-09,0.2091384,4.002107e-06,3.401515e-13,2.671289e-11,4277.0,213.6
22000.0,3.172324e-10,9.571806e-07,1.232965e-08,0.0003552938,1.070881e-11,4.032738e-11,4.903635e-06,0.0,1.300701e-10,5.49391e-10,9.910488e-11,3.002176e-12,5.464074e-09,5.76405e-11,0.7815496,1.230546e-07,1.721635e-14,3.072332e-10,2.161922e-09,0.2091766,4.202886e-06,5.093943e-13,2.281267e-11,3647.0,213.0
23000.0,2.861862e-10,9.016658e-07,1.308307e-08,0.0003553274,1.521484e-11,4.504084e-11,4.954021e-06,0.0,1.250768e-10,5.754852e-10,1.230959e-10,3.002408e-12,5.744476e-09,7.656471e-11,0.7815883,1.122484e-07,1.591286e-14,3.603267e-10,2.581713e-09,0.2091216,4.503141e-06,7.596102e-13,2.071407e-11,3109.0,212.4
24000.0,2.481645e-10,8.484841e-07,1.400893e-08,0.0003552461,2.242091e-11,5.063748e-11,5.004135e-06,0.0,1.191145e-10,6.044042e-10,1.501351e-10,3.002702e-12,5.844229e-09,9.926579e-11,0.7815857,1.04377e-07,1.440635e-14,4.512884e-10,3.062314e-09,0.2091956,4.603407e-06,1.161339e-12,1.900975e-11,2649.0,211.8
25000.0,1.911711e-10,7.96611e-07,1.522648e-08,0.0003551983,3.973361e-11,5.824321e-11,5.003539e-06,0.0,1.13074e-10,6.514554e-10,1.821231e-10,3.002641e-12,5.613632e-09,1.310666e-10,0.7816172,9.576653e-08,1.230915e-14,6.8545e-10,3.743283e-09,0.2091379,4.703663e-06,2.181859e-12,1.751433e-11,2256.0,211.2
27500.0,1.100727e-10,7.453831e-07,1.723309e-08,0.0003553434,8.486919e-11,7.216026e-11,5.003657e-06,0.0,1.050826e-10,7.516206e-10,2.302033e-10,3.001804e-12,4.824328e-09,1.841431e-10,0.7816386,8.603873e-08,9.377714e-15,1.28103e-09,4.812633e-09,0.2091517,4.904246e-06,5.003657e-12,1.541056e-11,1513.0,213.6
30000.0,4.724918e-11,6.947033e-07,2.03879e-08,0.000355246,1.851665e-10,8.73642e-11,5.002682e-06,0.0,9.739295e-11,9.888411e-10,2.832319e-10,3.002779e-12,3.742509e-09,2.451928e-10,0.7815412,7.321284e-08,6.356418e-15,2.451928e-09,6.166369e-09,0.2091712,5.403248e-06,1.170996e-11,1.341163e-11,1020.0,216.0
32500.0,1.791324e-11,6.439687e-07,2.487684e-08,0.0003552524,3.572171e-10,1.010703e-10,5.003309e-06,0.0,9.046123e-11,1.280952e-09,3.201943e-10,3.001985e-12,2.591592e-09,2.961819e-10,0.7814942,5.714949e-08,3.682628e-15,4.531793e-09,7.216815e-09,0.2091261,5.902682e-06,3.402338e-11,1.210661e-11,691.0,218.5
35000.0,7.358215e-12,5.88853e-07,3.171149e-08,0.0003553097,5.084807e-10,1.111241e-10,5.0045e-06,0.0,8.468149e-11,1.571537e-09,3.483236e-10,3.0027e-12,1.641398e-09,3.212935e-10,0.7815247,4.674131e-08,1.821599e-15,7.149286e-09,7.286395e-09,0.2091901,6.205841e-06,8.357156e-11,1.160861e-11,470.1,222.3
37500.0,3.033783e-12,5.244166e-07,4.434441e-08,0.000355439,6.077333e-10,1.131075e-10,5.005839e-06,0.0,8.028877e-11,1.691729e-09,3.724344e-10,3.003503e-12,9.691304e-10,3.04355e-10,0.7818876,3.44304e-08,9.270325e-16,9.351396e-09,6.266822e-09,0.2092197,6.257055e-06,1.702474e-10,1.211169e-11,323.0,228.5
40000.0,1.32105e-12,4.508965e-07,6.476672e-08,0.0003552562,5.955128e-10,1.030806e-10,5.003059e-06,0.0,7.635336e-11,1.740885e-09,3.952749e-10,3.002124e-12,5.3339e-10,2.482026e-10,0.7815925,2.473358e-08,2.942891e-16,1.120812e-08,4.033653e-09,0.2091952,5.904563e-06,2.851874e-10,1.361069e-11,224.3,234.7
42500.0,8.697228e-13,3.71014e-07,1.041889e-07,0.0003553433,4.332732e-10,7.956047e-11,5.00403e-06,0.0,7.305926e-11,1.761469e-09,4.104024e-10,3.002841e-12,2.522133e-10,1.641398e-10,0.7816282,1.632292e-08,8.726875e-17,1.190972e-08,2.172719e-09,0.2091612,5.10356e-06,4.063789e-10,1.651351e-11,157.0,240.8
45000.0,6.685838e-13,3.006176e-07,1.508144e-07,0.0003551277,2.511939e-10,4.822873e-11,5.003654e-06,0.0,7.004503e-11,1.791265e-09,4.21312e-10,3.002193e-12,1.210927e-10,9.746861e-11,0.7816486,1.066915e-08,2.982276e-17,1.170788e-08,1.150871e-09,0.2091546,4.102813e-06,5.113961e-10,2.101657e-11,111.3,247.0
47500.0,5.602342e-13,2.454233e-07,2.16438e-07,0.0003552133,1.560779e-10,1.630698e-11,5.004936e-06,0.0,6.704225e-11,1.801069e-09,4.242469e-10,3.001634e-12,7.704327e-11,4.920857e-11,0.7814958,7.067094e-09,1.300575e-17,1.100555e-08,6.664398e-10,0.2090922,3.001634e-06,5.792627e-10,2.771522e-11,79.0,253.2
50000.0,4.944858e-13,1.98195e-07,3.143826e-07,0.0003553237,1.041056e-10,5.105117e-12,4.954875e-06,7.149042e-12,6.43539e-11,1.801659e-09,4.254369e-10,3.002973e-12,5.555219e-11,2.532213e-11,0.7818873,3.975794e-09,7.136522e-18,1.03104e-08,4.43466e-10,0.2092128,2.602326e-06,6.754655e-10,3.563253e-11,57.19,259.3
55000.0,4.563271e-13,1.591282e-07,4.845634e-07,0.0003552268,7.695584e-11,2.001665e-12,4.854009e-06,7.154787e-12,6.214376e-11,1.801858e-09,4.253389e-10,3.0019e-12,4.453197e-11,1.501548e-11,0.7815229,2.510158e-09,4.803758e-18,1.010763e-08,3.391944e-10,0.2091399,1.600854e-06,9.536925e-10,4.593182e-11,29.9,259.1
60000.0,4.322398e-13,1.501218e-07,7.151848e-07,0.0003553574,6.304801e-11,1.050875e-12,4.503429e-06,7.156318e-12,6.025432e-11,1.801372e-09,4.253115e-10,3.001541e-12,3.844118e-11,1.050875e-11,0.7815629,1.727395e-09,3.663087e-18,1.010869e-08,2.851799e-10,0.2091692,9.507488e-07,1.761366e-09,5.1538e-11,15.5,250.9
65000.0,4.172896e-13,1.501235e-07,1.067536e-06,0.0003552519,5.522185e-11,6.863659e-13,4.002716e-06,7.154529e-12,5.882516e-11,1.801222e-09,4.252777e-10,3.002037e-12,3.492174e-11,8.344056e-12,0.7814412,1.260725e-09,3.002037e-18,1.030634e-08,2.53187e-10,0.2091224,6.503328e-07,3.742669e-09,5.114099e-11,7.9,248.4
70000.0,4.051485e-13,1.500989e-07,1.516236e-06,0.000355172,5.041698e-11,5.141651e-13,3.300991e-06,7.15257e-12,5.752381e-11,1.800848e-09,4.251391e-10,3.001132e-12,3.271344e-11,7.112758e-12,0.7813276,9.605654e-10,2.570825e-18,1.150307e-08,2.310778e-10,0.2090543,5.001886e-07,7.192382e-09,4.321697e-11,4.0,245.4
75000.0,3.963135e-13,1.501001e-07,2.167896e-06,0.0003551591,4.723033e-11,4.162426e-13,2.702579e-06,7.15503e-12,5.623893e-11,1.80172e-09,4.25316e-10,3.002326e-12,3.122225e-11,6.333563e-12,0.7814473,7.558473e-10,2.271593e-18,1.611016e-08,2.151694e-10,0.2091745,3.302072e-07,1.120728e-08,2.8322e-11,2.0,234.7
80000.0,3.891436e-13,1.501211e-07,3.062266e-06,0.0003529814,4.493072e-11,3.533014e-13,2.001401e-06,7.155634e-12,5.504333e-11,1.801389e-09,4.253058e-10,3.002102e-12,3.012022e-11,5.78275e-12,0.7814873,6.10277e-10,2.041404e-18,2.681762e-08,2.021562e-10,0.2091327,1.300879e-07,1.130949e-08,1.330961e-11,0.966,223.9
85000.0,3.834107e-13,1.501866e-07,4.568367e-06,0.0003445727,4.304217e-11,3.093308e-13,1.331214e-06,7.159528e-12,5.375203e-11,1.801978e-09,4.254525e-10,3.003079e-12,2.92331e-11,5.375203e-12,0.7819904,5.029323e-10,1.85167e-18,7.015683e-08,1.922284e-10,0.2002052,7.506062e-07,6.106195e-09,5.56547e-12,0.45,213.1
90000.0,3.785971e-13,1.402109e-07,6.888863e-06,0.0003340725,4.16761e-11,2.764118e-13,8.513595e-07,7.161265e-12,5.2586e-11,1.803107e-09,4.257489e-10,3.004717e-12,2.844318e-11,5.058101e-12,0.7812541,4.217389e-10,1.713228e-18,2.133584e-07,1.833527e-10,0.1902665,8.013039e-07,1.512729e-09,2.244204e-12,0.202,202.3
95000.0,3.720031e-13,1.296888e-07,1.052301e-05,0.000289759,4.020963e-11,2.493893e-13,5.387962e-07,7.132727e-12,5.106238e-11,1.795667e-09,4.238658e-10,2.992672e-12,2.773056e-11,4.76689e-12,0.7769806,3.569565e-10,1.585975e-18,7.103914e-07,1.75565e-10,0.1795667,7.981098e-07,2.414178e-10,8.938318e-13,0.091,211.0
