z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
-728.2161,3.002368e-10,2.001579e-09,7.005526e-10,1.701342e-06,1.501184e-07,0.0003302605,1.000789e-20,1.000789e-14,2.401895e-09,0.02595108,2.001579e-10,0.0,1.701342e-10,1.000789e-09,1.000789e-14,3.002368e-12,5.003947e-11,7.708121e-12,0.7814327,3.202526e-07,5.003947e-10,3.002368e-10,2.301816e-11,0.2091446,2.871244e-08,4.403473e-14,1.000789e-20,1.000789e-20,3.002368e-10,110000.0,299.7
0.0,3.002368e-10,2.001579e-09,7.005526e-10,1.701342e-06,1.501184e-07,0.0003302605,1.000789e-20,1.000789e-14,2.401895e-09,0.02595108,2.001579e-10,0.0,1.701342e-10,1.000789e-09,1.000789e-14,3.002368e-12,5.003947e-11,7.708121e-12,0.7814327,3.202526e-07,5.003947e-10,3.002368e-10,2.301816e-11,0.2091446,2.871244e-08,4.403473e-14,1.000789e-20,1.000789e-20,3.002368e-10,101300.0,299.7
1000.0,1.721181e-10,2.001541e-09,6.706193e-10,1.701444e-06,1.451139e-07,0.0003302407,1.00077e-20,1.00077e-14,1.070748e-09,0.01950403,1.9513e-10,0.0,1.651204e-10,7.495684e-10,1.00077e-14,3.002311e-12,5.966044e-11,1.060879e-11,0.7814172,3.202375e-07,5.006094e-10,3.002311e-10,2.301637e-11,0.2091704,3.152583e-08,4.40321e-14,1.00077e-20,1.00077e-20,2.742138e-10,90400.0,293.7
2000.0,9.577868e-11,2.001434e-09,6.43459e-10,1.701416e-06,1.399918e-07,0.0003302169,1.000717e-20,1.000717e-14,4.042837e-10,0.01535123,1.921495e-10,0.0,1.631346e-10,5.615463e-10,1.230665e-14,3.002151e-12,6.932975e-11,1.220796e-11,0.7816251,3.202492e-07,4.633497e-10,3.002151e-10,2.301452e-11,0.2091735,3.344605e-08,4.403056e-14,1.000717e-20,1.000717e-20,2.361653e-10,80500.0,287.7
3000.0,6.743893e-11,2.001802e-09,6.223446e-10,1.701587e-06,1.350422e-07,0.0003302919,1.000901e-20,1.000901e-14,2.271887e-10,0.008606544,1.891687e-10,0.0,1.611193e-10,4.223836e-10,1.971671e-14,3.002703e-12,7.916268e-11,1.141148e-11,0.7817657,3.202664e-07,3.803643e-10,3.002703e-10,2.302018e-11,0.2091648,3.507263e-08,4.404074e-14,1.000901e-20,1.000901e-20,1.901548e-10,71500.0,283.7
4000.0,5.072801e-11,1.981147e-09,6.072135e-10,1.700802e-06,1.31291e-07,0.0003301912,1.000543e-20,1.000543e-14,1.400518e-10,0.004443232,1.840975e-10,0.0,1.60111e-10,3.191949e-10,3.181678e-14,3.001629e-12,8.875589e-11,9.806045e-12,0.781221,3.201616e-07,2.881394e-10,3.001629e-10,2.30137e-11,0.2091111,3.562924e-08,4.402147e-14,1.000543e-20,1.000543e-20,1.460938e-10,63300.0,277.0
5000.0,3.993074e-11,1.951472e-09,6.024661e-10,1.701112e-06,1.303875e-07,0.0003302748,1.000772e-20,1.000772e-14,1.000772e-10,0.003348814,1.771213e-10,0.0,1.600968e-10,2.392106e-10,5.6341e-14,3.002316e-12,9.760699e-11,8.018194e-12,0.7817906,3.202604e-07,2.041602e-10,3.002316e-10,2.301976e-11,0.2091674,3.770087e-08,4.403664e-14,1.000772e-20,1.000772e-20,1.181031e-10,55900.0,270.3
6000.0,3.192722e-11,1.901874e-09,6.005217e-10,1.701404e-06,1.289368e-07,0.0003302943,1.000869e-20,1.000869e-14,7.449191e-11,0.002103083,1.661458e-10,0.0,1.601539e-10,1.791652e-10,9.187582e-14,3.002608e-12,1.111091e-10,6.425389e-12,0.7819061,3.203078e-07,1.460988e-10,3.002608e-10,2.302074e-11,0.2091987,3.992382e-08,4.403678e-14,1.000869e-20,1.000869e-20,9.720195e-11,49200.0,263.6
7000.0,2.800935e-11,1.850589e-09,6.002708e-10,1.699453e-06,1.247689e-07,0.0003301161,1.000451e-20,1.000451e-14,6.042956e-11,0.00128958,1.49082e-10,0.0,1.600886e-10,1.320793e-10,1.531068e-13,3.001354e-12,1.260832e-10,5.422808e-12,0.781387,3.201773e-07,9.881306e-11,3.001354e-10,2.30071e-11,0.2091256,4.225223e-08,4.411678e-14,1.000451e-20,1.000451e-20,8.304239e-11,43200.0,257.0
8000.0,2.552606e-11,1.791944e-09,5.986556e-10,1.69869e-06,1.186706e-07,0.0003303211,1.001112e-20,1.011168e-14,5.015615e-11,0.0007645933,1.231504e-10,0.0,1.601779e-10,9.974546e-11,2.412725e-13,3.003335e-12,1.391499e-10,4.705682e-12,0.7818727,3.203557e-07,6.487569e-11,3.003335e-10,2.303014e-11,0.2092735,4.476203e-08,4.455175e-14,1.001112e-20,1.001112e-20,7.21806e-11,37800.0,250.3
9000.0,2.401396e-11,1.721563e-09,5.944707e-10,1.69396e-06,1.094889e-07,0.0003302047,1.000735e-20,1.05093e-14,4.223144e-11,0.000410149,9.096475e-11,0.0,1.60093e-10,7.485321e-11,4.043218e-13,3.002511e-12,1.531414e-10,4.413293e-12,0.7815526,3.197772e-07,3.772307e-11,3.002511e-10,2.321656e-11,0.2091637,5.004186e-08,4.563572e-14,1.000735e-20,1.000735e-20,6.565246e-11,32900.0,243.6
10000.0,2.272275e-11,1.58121e-09,5.884345e-10,1.686472e-06,9.970093e-08,0.0003303151,1.000785e-20,1.210507e-14,3.632665e-11,0.0001913013,5.795102e-11,0.0,1.601805e-10,5.68412e-11,6.57541e-13,3.00224e-12,1.741391e-10,4.34318e-12,0.7815665,3.181871e-07,2.032004e-11,3.00224e-10,2.382113e-11,0.20915,5.599453e-08,4.684136e-14,1.000785e-20,1.000785e-20,6.084571e-11,28600.0,237.0
11000.0,2.081122e-11,1.30038e-09,5.794471e-10,1.675959e-06,8.970175e-08,0.0003301755,1.000688e-20,1.871466e-14,3.432951e-11,7.310937e-05,3.432951e-11,0.0,1.601358e-10,4.593131e-11,1.200825e-12,3.002063e-12,2.021955e-10,4.653584e-12,0.781514,3.142262e-07,1.090724e-11,3.002063e-10,2.621339e-11,0.2091412,6.617659e-08,4.802787e-14,1.000688e-20,1.000688e-20,5.794471e-11,24700.0,230.1
12000.0,1.761034e-11,9.86614e-10,5.664298e-10,1.662474e-06,7.819572e-08,0.0003301758,1.000673e-20,3.181457e-14,3.391621e-11,2.907518e-05,1.950907e-11,0.0,1.601599e-10,4.362727e-11,1.961053e-12,3.00173e-12,2.41182e-10,5.013512e-12,0.7815224,3.097391e-07,6.304937e-12,3.00173e-10,3.152469e-11,0.20915,7.819572e-08,4.943941e-14,1.000673e-20,1.000673e-20,5.603423e-11,21300.0,223.6
13000.0,1.230878e-11,7.225256e-10,5.483556e-10,1.646219e-06,6.3791e-08,0.0003302316,1.000737e-20,5.613608e-14,3.503155e-11,9.906947e-06,1.080743e-11,0.0,1.591236e-10,6.514089e-11,3.122878e-12,3.002704e-12,2.762356e-10,5.223454e-12,0.7816249,3.050444e-07,3.122878e-12,2.992827e-10,4.453023e-11,0.2092345,9.2962e-08,5.193822e-14,1.000737e-20,1.000737e-20,5.593853e-11,18200.0,217.0
14000.0,7.326037e-12,4.96406e-10,5.284202e-10,1.627326e-06,5.029205e-08,0.0003301928,1.000816e-20,9.998849e-14,3.62207e-11,6.224153e-06,6.59455e-12,0.0,1.571301e-10,1.010866e-10,4.623444e-12,3.00226e-12,3.33357e-10,5.604344e-12,0.7815556,3.00226e-07,1.110818e-12,2.952006e-10,7.486108e-11,0.209209,1.050884e-07,5.654598e-14,1.000816e-20,1.000816e-20,5.645292e-11,15600.0,210.3
15000.0,4.523415e-12,3.351546e-10,5.034776e-10,1.606313e-06,3.943872e-08,0.000330254,1.000776e-20,1.781454e-13,3.622141e-11,4.003531e-06,4.203814e-12,0.0,1.551129e-10,1.631242e-10,7.095135e-12,3.002116e-12,4.523415e-10,6.865022e-12,0.7815302,2.946718e-07,4.474409e-13,2.831662e-10,1.711355e-10,0.209168,1.256883e-07,6.754228e-14,1.000776e-20,1.000776e-20,5.754943e-11,13200.0,203.7
16000.0,2.592557e-12,2.141677e-10,4.773441e-10,1.583224e-06,3.070391e-08,0.0003303182,1.000756e-20,3.163507e-13,3.582531e-11,3.001779e-06,2.942968e-12,0.0,1.521228e-10,2.371773e-10,1.050745e-11,3.001779e-12,7.375799e-10,8.777446e-12,0.7816877,2.879257e-07,2.111537e-13,2.683223e-10,3.192912e-10,0.2091688,1.445019e-07,8.255504e-14,1.000756e-20,1.000756e-20,5.753613e-11,11100.0,197.0
17000.0,1.550899e-12,1.490907e-10,4.492241e-10,1.554057e-06,2.490682e-08,0.0003301008,1.000636e-20,5.65477e-13,3.501939e-11,2.902016e-06,2.30152e-12,0.0,1.490907e-10,3.131652e-10,1.690977e-11,3.002482e-12,1.310931e-09,1.200706e-11,0.7816212,2.784902e-07,1.100814e-13,2.521683e-10,5.192629e-10,0.2091404,2.50159e-07,1.040535e-13,1.000636e-20,1.000636e-20,5.373466e-11,9370.0,194.8
18000.0,8.638044e-13,1.050968e-10,4.212916e-10,1.522355e-06,1.967651e-08,0.0003302843,1.000872e-20,1.040879e-12,3.422864e-11,2.752485e-06,2.241786e-12,0.0,1.451386e-10,3.854592e-10,2.572279e-11,3.002616e-12,2.111677e-09,1.631592e-11,0.781703,2.673167e-07,6.707269e-14,2.402163e-10,7.716143e-10,0.2091847,5.002621e-07,1.301099e-13,1.000872e-20,1.000872e-20,4.783452e-11,7890.0,198.8
19000.0,5.303202e-13,7.963208e-11,3.952188e-10,1.480863e-06,1.549779e-08,0.0003301685,1.000549e-20,2.041019e-12,3.392032e-11,2.601595e-06,2.681437e-12,0.0,1.410685e-10,4.420736e-10,4.022366e-11,3.001646e-12,3.171836e-09,2.261215e-11,0.781613,2.528476e-07,3.972359e-14,2.44149e-10,1.06064e-09,0.2091025,9.505423e-07,1.640967e-13,1.000549e-20,1.000549e-20,3.972359e-11,6660.0,202.7
20000.0,3.101919e-13,6.015935e-11,3.6924e-10,1.424933e-06,1.331992e-08,0.0003301945,1.000635e-20,4.643029e-12,3.432265e-11,2.601854e-06,3.682298e-12,0.0,1.370886e-10,4.893061e-10,5.773479e-11,3.001906e-12,4.202567e-09,3.072117e-11,0.7814149,2.36647e-07,2.411425e-14,2.551847e-10,1.39109e-09,0.2091181,1.400687e-06,2.161393e-13,1.000635e-20,1.000635e-20,3.19183e-11,5650.0,206.7
