Wavenumber [cm-1],Wavelength [nm],MCebKur Irradiance [mW m-2 nm-1],MChKur Irradiance [mW m-2 nm-1],MNewKur  Irradiance [mW m-2 nm-1],MthKur Irradiance [mW m-2 nm-1],MoldKur Irradiance [mW m-2 nm-1],MODWherli_WMO Irradiance [mW m-2 nm-1]
50000.0,200.0,0.00567,0.00567,0.00567,0.00784,,0.00452491
49999.0,200.004,0.00567,0.00567,0.00567,0.00784,,0.004524729
49998.0,200.008,0.00567,0.00567,0.00567,0.00784,,0.004524548
49997.0,200.012,0.00567,0.00567,0.00567,0.00784,,0.004524367
49996.0,200.016,0.00456,0.00456,0.00456,0.00784,,0.004524186
49995.0,200.02,0.00398,0.00398,0.00398,0.00784,,0.004074104
49994.0,200.024,0.00316,0.00316,0.00316,0.00785,,0.003624058
49993.0,200.028,0.00277,0.00277,0.00277,0.00785,,0.00329901
49992.0,200.032,0.00297,0.00297,0.00297,0.00785,,0.003123938
49991.0,200.036,0.00281,0.00281,0.00281,0.00785,,0.003073832
49990.0,200.04,0.00275,0.00275,0.00275,0.00785,,0.003148677
49989.0,200.044,0.00329,0.00329,0.00329,0.00785,,0.003298482
49988.0,200.048,0.00389,0.00389,0.00389,0.00785,,0.003448275
49987.0,200.052,0.0039,0.0039,0.0039,0.00785,,0.003523097
49986.0,200.056,0.0079,0.00377,0.00377,0.00786,,0.003572927
49985.0,200.06,0.00789,0.00336,0.00336,0.00786,,0.003622753
49984.0,200.064,0.00788,0.0033,0.0033,0.00786,,0.003747525
49983.0,200.068,0.00787,0.00325,0.00325,0.00786,,0.003972218
49982.0,200.072,0.00787,0.00399,0.00399,0.00786,0.0065,0.004346782
49981.0,200.076,0.00786,0.00501,0.00501,0.00786,0.00699,0.004771276
49980.0,200.08,0.00785,0.00579,0.00579,0.00786,0.00678,0.005120798
49979.0,200.084,0.00784,0.00589,0.00589,0.00786,0.00731,0.005320421
49978.0,200.088,0.00784,0.00611,0.00611,0.00787,0.00892,0.005370164
49977.0,200.092,0.00783,0.00549,0.00549,0.00787,0.0091,0.005195113
49976.0,200.096,0.00782,0.00461,0.00461,0.00787,0.00923,0.00494515
49975.0,200.1001,0.00781,0.0044,0.0044,0.00787,0.00884,0.004695207
49974.0,200.1041,0.0078,0.00427,0.00427,0.00787,0.00787,0.004520205
49973.0,200.1081,0.0078,0.00392,0.00392,0.00787,0.007,0.004420134
49972.0,200.1121,0.00779,0.00447,0.00447,0.00787,0.00542,0.004394985
49971.0,200.1161,0.00778,0.00484,0.00484,0.00787,0.00514,0.00439481
49970.0,200.1201,0.00777,0.00456,0.00456,0.00788,0.00509,0.004344695
49969.0,200.1241,0.00777,0.0043,0.0043,0.00788,0.00471,0.004219678
49968.0,200.1281,0.00776,0.00422,0.00422,0.00788,0.00486,0.004094672
49967.0,200.1321,0.00775,0.00378,0.00378,0.00788,0.00519,0.003994642
49966.0,200.1361,0.00774,0.00343,0.00343,0.00788,0.00561,0.004019447
49965.0,200.1401,0.00774,0.00349,0.00349,0.00788,0.00655,0.004243967
49964.0,200.1441,0.00773,0.00409,0.00409,0.00788,0.00626,0.004693141
49963.0,200.1481,0.00772,0.00512,0.00512,0.00788,0.00824,0.005317015
49962.0,200.1521,0.00771,0.00602,0.00602,0.00789,0.00842,0.006015725
49961.0,200.1561,0.00771,0.00736,0.00736,0.00789,0.00935,0.006739339
49960.0,200.1601,0.0077,0.00781,0.00781,0.00789,0.00972,0.007338098
49959.0,200.1641,0.00769,0.00812,0.00812,0.00789,0.0108,0.007836974
49958.0,200.1681,0.00768,0.00814,0.00814,0.00789,0.00961,0.008211023
49957.0,200.1721,0.00767,0.00853,0.00853,0.00789,0.00981,0.008485216
49956.0,200.1762,0.00767,0.00876,0.00876,0.00789,0.0104,0.00863461
49955.0,200.1802,0.00766,0.00912,0.00912,0.00789,0.00952,0.008659219
49954.0,200.1842,0.00765,0.00914,0.00914,0.00789,0.011,0.008559058
49953.0,200.1882,0.00764,0.00883,0.00883,0.0079,0.00832,0.00830919
49952.0,200.1922,0.00764,0.00788,0.00788,0.0079,0.00861,0.007984488
49951.0,200.1962,0.00763,0.00708,0.00708,0.0079,0.00884,0.007709712
49950.0,200.2002,0.00762,0.00711,0.00711,0.0079,0.00863,0.007609605
